,Latitude,Longitude
0,42.374739399999996,-72.5074865
1,42.338468,-72.53508659999999
2,42.3817967,-72.47074909999999
3,42.384195899999995,-72.4367252
4,42.289890299999996,-72.6258783
5,42.2675485,-72.6119542
6,42.20139520000001,-72.6385208
7,42.144692,-72.6409014
8,42.1327082,-72.60821659999999
9,42.105605600000004,-72.59616209999999
10,42.1102739,-72.555678
11,42.1226596,-72.57386609999999
12,42.1453868,-72.5495287
13,42.16126320000001,-72.5370527
14,42.1660299,-72.4940558
15,42.170232299999995,-72.4543485
16,42.1605011,-72.4198438
17,42.154598799999995,-72.3743436
18,42.1708481,-72.338453
19,42.17429179999999,-72.30554609999999
20,42.170536,-72.263729
21,42.180769399999996,-72.2321695
22,42.174001000000004,-72.1930933
23,42.1360456,-72.127638
24,42.1362583,-72.0865196
25,42.1365706,-72.0368458
26,42.1534756,-71.9728622
27,42.1671556,-71.9382922
28,42.18615820000001,-71.87850909999999
29,42.191186200000004,-71.86403670000001
30,42.198237799999994,-71.84029740000001
31,42.204299299999995,-71.813497
32,42.2063869,-71.79234579999999
33,42.21976420000001,-71.7607041
34,42.2233853,-71.7162523
35,42.226217600000005,-71.70196779999999
36,42.2270951,-71.67842259999999
37,42.2283891,-71.64807320000001
38,42.227491799999996,-71.625869
39,42.237135200000004,-71.6019687
40,42.248757,-71.58767759999999
41,42.259601,-71.5774569
42,42.2656359,-71.5669567
43,42.2729227,-71.54589940000001
44,42.278600399999995,-71.52369859999999
45,42.287754,-71.49220679999999
46,42.298284,-71.476658
47,42.3017061,-71.45588199999999
48,42.3096722,-71.43525009999999
49,42.3154574,-71.41231640000001
50,42.306450299999995,-71.39205729999999
51,42.311530499999996,-71.37555970000001
52,42.3165838,-71.355937
53,42.3270022,-71.3328868
54,42.3331338,-71.31961
55,42.33903970000001,-71.277946
56,42.3480015,-71.2235907
57,42.350837,-71.2090869
58,42.3553099,-71.1896327
59,42.357480100000004,-71.12402320000001
60,42.347053,-71.08001390000001
61,42.3577386,-71.1512252
62,42.174612200000006,-71.9207057
63,42.1583746,-71.95808259999998
64,42.150186,-71.9970035
65,42.1510993,-72.15110179999999
66,42.1333251,-72.5567622
67,42.173397200000004,-72.64459690000001
68,42.2310899,-72.63561159999999
69,42.257411299999994,-72.61756590000002
70,42.2833785,-72.61519399999999
